1	673	-	0
2	689	16	673
3	706	17	1,362
4	723	17	2,068
5	740	17	2,791
6	757	17	3,531
7	775	18	4,288
8	793	18	5,063
9	811	18	5,856
10	829	18	6,667
11	847	18	7,496
12	1,038	191	8,343
13	1,238	200	9,381
14	1,445	207	10,619
15	1,659	214	12,064
16	1,882	223	13,723
17	2,113	231	15,605
18	2,353	240	17,718
19	2,601	248	20,071
20	2,857	256	22,672
21	3,122	265	25,529
22	3,395	273	28,651
23	3,678	283	32,046
24	3,970	292	35,724
25	4,270	300	39,694
26	4,580	310	43,964
27	4,899	319	48,544
28	5,228	329	53,443
29	5,567	339	58,671
30	5,915	348	64,238
31	6,273	358	70,153
32	6,640	367	76,426
33	7,018	378	83,066
34	7,407	389	90,084
35	7,805	398	97,491
36	8,214	409	105,296
37	8,633	419	113,510
38	9,064	431	122,143
39	9,505	441	131,207
40	9,956	451	140,712
41	10,419	463	150,668
42	10,893	474	161,087
43	11,379	486	171,980
44	11,876	497	183,359
45	12,384	508	195,235
46	12,904	520	207,619
47	13,435	531	220,523
48	13,979	544	233,958
49	14,535	556	247,937
50	15,102	567	262,472
51	15,682	580	277,574
52	16,274	592	293,256
53	16,879	605	309,530
54	17,497	618	326,409
55	18,127	630	343,906
56	18,770	643	362,033
57	19,425	655	380,803
58	20,094	669	400,228
59	20,777	683	420,322
60	21,472	695	441,099
61	22,181	709	462,571
62	22,903	722	484,752
63	23,640	737	507,655
64	24,390	750	531,295
65	25,153	763	555,685
66	25,931	778	580,838
67	26,723	792	606,769
68	27,530	807	633,492
69	28,351	821	661,022
70	29,186	835	689,373
71	30,036	850	718,559
72	30,900	864	748,595
73	31,780	880	779,495
74	32,675	895	811,275
75	33,584	909	843,950
76	34,509	925	877,534
77	35,449	940	912,043
78	36,405	956	947,492
79	37,377	972	983,897
80	38,364	987	1,021,274
81	39,367	1,003	1,059,638
82	40,385	1,018	1,099,005
83	41,420	1,035	1,139,390
84	42,472	1,052	1,180,810
85	43,539	1,067	1,223,282
86	44,623	1,084	1,266,821
87	45,723	1,100	1,311,444
88	46,841	1,118	1,357,167
89	47,975	1,134	1,404,008
90	49,125	1,150	1,451,983
91	50,293	1,168	1,501,108
92	51,478	1,185	1,551,401
93	52,681	1,203	1,602,879
94	53,901	1,220	1,655,560
95	55,138	1,237	1,709,461
96	56,393	1,255	1,764,599
97	57,665	1,272	1,820,992
98	58,956	1,291	1,878,657
99	60,265	1,309	1,937,613
100	61,591	1,326	1,997,878
101	62,936	1,345	2,059,469
102	64,299	1,363	2,122,405
103	65,681	1,382	2,186,704
104	67,082	1,401	2,252,385
105	68,501	1,419	2,319,467
106	69,939	1,438	2,387,968
107	71,395	1,456	2,457,907
108	72,871	1,476	2,529,302
109	74,367	1,496	2,602,173
110	75,881	1,514	2,676,540
111	77,415	1,534	2,752,421
112	78,968	1,553	2,829,836
113	80,542	1,574	2,908,804
114	82,135	1,593	2,989,346
115	83,747	1,612	3,071,481
116	85,380	1,633	3,155,228
117	87,033	1,653	3,240,608
118	88,707	1,674	3,327,641
119	90,401	1,694	3,416,348
120	92,115	1,714	3,506,749
121	93,850	1,735	3,598,864
122	95,605	1,755	3,692,714
123	97,382	1,777	3,788,319
124	99,180	1,798	3,885,701
125	100,998	1,818	3,984,881
126	102,838	1,840	4,085,879
127	104,699	1,861	4,188,717
128	106,582	1,883	4,293,416
129	108,487	1,905	4,399,998
130	110,413	1,926	4,508,485
131	112,361	1,948	4,618,898
132	114,330	1,969	4,731,259
133	116,322	1,992	4,845,589
134	118,337	2,015	4,961,911
135	120,373	2,036	5,080,248
136	122,432	2,059	5,200,621
137	124,513	2,081	5,323,053
138	126,618	2,105	5,447,566
139	128,745	2,127	5,574,184
140	130,894	2,149	5,702,929
141	133,067	2,173	5,833,823
142	135,263	2,196	5,966,890
143	137,483	2,220	6,102,153
144	139,726	2,243	6,239,636
145	141,992	2,266	6,379,362
146	144,282	2,290	6,521,354
147	146,595	2,313	6,665,636
148	148,933	2,338	6,812,231
149	151,295	2,362	6,961,164
150	153,680	2,385	7,112,459
151	156,090	2,410	7,266,139
152	158,524	2,434	7,422,229
153	160,983	2,459	7,580,753
154	163,467	2,484	7,741,736
155	165,975	2,508	7,905,203
156	168,508	2,533	8,071,178
157	171,065	2,557	8,239,686
158	173,648	2,583	8,410,751
159	176,257	2,609	8,584,399
160	178,890	2,633	8,760,656
161	181,549	2,659	8,939,546
162	184,233	2,684	9,121,095
163	186,944	2,711	9,305,328
164	189,680	2,736	9,492,272
165	192,441	2,761	9,681,952
166	195,229	2,788	9,874,393
167	198,043	2,814	10,069,622
168	200,884	2,841	10,267,665
169	203,751	2,867	10,468,549
170	206,644	2,893	10,672,300
171	209,564	2,920	10,878,944
172	212,510	2,946	11,088,508
173	215,484	2,974	11,301,018
174	218,485	3,001	11,516,502
175	221,512	3,027	11,734,987
176	224,567	3,055	11,956,499
177	227,649	3,082	12,181,066
178	230,759	3,110	12,408,715
179	233,897	3,138	12,639,474
180	237,062	3,165	12,873,371
181	240,255	3,193	13,110,433
182	243,475	3,220	13,350,688
183	246,724	3,249	13,594,163
184	250,002	3,278	13,840,887
185	253,307	3,305	14,090,889
186	256,641	3,334	14,344,196
187	260,003	3,362	14,600,837
188	263,395	3,392	14,860,840
189	266,815	3,420	15,124,235
190	270,263	3,448	15,391,050
191	273,741	3,478	15,661,313
192	277,248	3,507	15,935,054
193	280,785	3,537	16,212,302
194	284,351	3,566	16,493,087
195	287,946	3,595	16,777,438
196	291,571	3,625	17,065,384
197	295,225	3,654	17,356,955
198	298,910	3,685	17,652,180
199	302,625	3,715	17,951,090
200	306,369	3,744	18,253,715
201	310,144	3,775	18,560,084
202	313,949	3,805	18,870,228
203	317,785	3,836	19,184,177
204	321,652	3,867	19,501,962
205	325,549	3,897	19,823,614
206	329,477	3,928	20,149,163
207	333,435	3,958	20,478,640
208	337,425	3,990	20,812,075
209	341,447	4,022	21,149,500
210	345,499	4,052	21,490,947
211	349,583	4,084	21,836,446
212	353,698	4,115	22,186,029
213	357,846	4,148	22,539,727
214	362,025	4,179	22,897,573
215	366,235	4,210	23,259,598
216	370,478	4,243	23,625,833
217	374,753	4,275	23,996,311
218	379,061	4,308	24,371,064
219	383,401	4,340	24,750,125
220	387,773	4,372	25,133,526
221	392,178	4,405	25,521,299
222	396,615	4,437	25,913,477
223	401,086	4,471	26,310,092
224	405,590	4,504	26,711,178
225	410,126	4,536	27,116,768
226	414,696	4,570	27,526,894
227	419,299	4,603	27,941,590
228	423,936	4,637	28,360,889
229	428,607	4,671	28,784,825
230	433,311	4,704	29,213,432
231	438,049	4,738	29,646,743
232	442,820	4,771	30,084,792
233	447,626	4,806	30,527,612
234	452,467	4,841	30,975,238
235	457,341	4,874	31,427,705
236	462,250	4,909	31,885,046
237	467,193	4,943	32,347,296
238	472,172	4,979	32,814,489
239	477,185	5,013	33,286,661
240	482,232	5,047	33,763,846
241	487,315	5,083	34,246,078
242	492,433	5,118	34,733,393
243	497,587	5,154	35,225,826
244	502,776	5,189	35,723,413
245	508,000	5,224	36,226,189
246	513,260	5,260	36,734,189
247	518,555	5,295	37,247,449
248	523,887	5,332	37,766,004
249	529,255	5,368	38,289,891
250	534,658	5,403	38,819,146
251	540,098	5,440	39,353,804
252	545,574	5,476	39,893,902
253	551,087	5,513	40,439,476
254	556,637	5,550	40,990,563
255	562,223	5,586	41,547,200
256	567,846	5,623	42,109,423
257	573,505	5,659	42,677,269
258	579,202	5,697	43,250,774
259	584,937	5,735	43,829,976
260	590,708	5,771	44,414,913
261	596,517	5,809	45,005,621
262	602,363	5,846	45,602,138
263	608,248	5,885	46,204,501
264	614,170	5,922	46,812,749
265	620,129	5,959	47,426,919
266	626,127	5,998	48,047,048
267	632,163	6,036	48,673,175
268	638,238	6,075	49,305,338
269	644,351	6,113	49,943,576
270	650,502	6,151	50,587,927
271	656,692	6,190	51,238,429
272	662,920	6,228	51,895,121
273	669,188	6,268	52,558,041
274	675,495	6,307	53,227,229
275	681,840	6,345	53,902,724
276	688,225	6,385	54,584,564
277	694,649	6,424	55,272,789
278	701,113	6,464	55,967,438
279	707,617	6,504	56,668,551
280	714,160	6,543	57,376,168
281	720,743	6,583	58,090,328
282	727,365	6,622	58,811,071
283	734,028	6,663	59,538,436
284	740,732	6,704	60,272,464
285	747,475	6,743	61,013,196
286	754,259	6,784	61,760,671
287	761,083	6,824	62,514,930
288	767,949	6,866	63,276,013
289	774,855	6,906	64,043,962
290	781,801	6,946	64,818,817
291	788,789	6,988	65,600,618
292	795,818	7,029	66,389,407
293	802,889	7,071	67,185,225
294	810,001	7,112	67,988,114
295	817,154	7,153	68,798,115
296	824,349	7,195	69,615,269
297	831,585	7,236	70,439,618
298	838,864	7,279	71,271,203
299	846,185	7,321	72,110,067
